City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
619,Ensley,US,81.54,clear sky,30.5188,-87.2728,Holiday Inn Express & Suites Pensacola W I-10
623,Coahuayana,MX,80.08,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
624,Yumen,CN,80.6,light rain,40.2833,97.2,
625,Isla Mujeres,MX,77.16,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
627,Uhlove,UA,78.73,clear sky,44.8215,33.6045,Tavryda
628,Kamuli,UG,76.37,overcast clouds,0.9472,33.1197,Century Hotel Limited And laundry Services
629,Huangpu,CN,77.61,light rain,25.4433,113.1747,New Era Hotel Furnishing City
631,Weatherford,US,77.79,clear sky,32.7593,-97.7972,"Candlewood Suites Weatherford, an IHG Hotel"
636,Hobyo,SO,81.21,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
637,Atbasar,KZ,85.44,overcast clouds,51.8,68.3333,"The Ritz-Carlton, Astana"
638,Nathdwara,IN,83.39,moderate rain,24.9333,73.8167,Hotel Sudarshan
642,Amet,IN,88.25,overcast clouds,25.3,73.9333,Nimit Mehta
643,Leh,IN,78.17,overcast clouds,34.1667,77.5833,Hotel Ladakh Greens
647,Yebaishou,CN,76.98,overcast clouds,41.3975,119.6408,Siji Home
649,Kyzyl-Suu,KG,75.29,clear sky,42.3414,78.0056,Gostinitsa Nur-Ordo
651,Masyaf,SY,82.45,clear sky,35.0653,36.3406,Hotel restaurants and tourist Misyaf
653,Perelyub,RU,81.12,broken clouds,51.8667,50.3667,
654,Bom Jesus,BR,83.86,clear sky,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
655,Tagusao,PH,82.51,overcast clouds,9.1924,117.8141,Toledo
657,Saint Anthony,US,75.25,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
661,Eydhafushi,MV,82.51,overcast clouds,5.1033,73.0708,Soneva Fushi
667,Pavlodar,KZ,89.4,clear sky,52.3,76.95,Sary Arka
